year,scenario_id,scenario_name,scenario_logic,scenario_mechanisms,A,Psi,sR,sO,sG,gen_total,informal,Q_HAUL,Q_HAUL_R,Q_HAUL_O,Q_HAUL_G,Q_MRF,Q_CMP,Q_WTE,Q_LF,Q_mat,Q_cmp,Q_comb,Q_ash,E_WTE,S_LF,S_ENV,gen_to_mun,mun_to_haul,tipping,rev_mat,rev_E,landfill_tax,net_MUN,net_HAUL,net_T,GHG_dir,GHG_net,E_net,D_climate,D_air,D_env,D_NC,D_LF,mass_residual
2024,value_1,Source-separation behaviour,"Generation remains fixed, but education, convenience and relative prices can shift waste between residual, recycling and organics.",Awareness affects sorting; convenience affects sorting; price wedges affect sorting.,0.0,0.0,0.285,0.172,0.5430000000000001,2475000.0,0.0,2475000.0000000005,705375.0,425700.0,1343925.0000000005,705375.0,425700.0,1343925.0000000005,394663.5000000001,648945.0,255420.00000000003,1048261.5000000003,295663.5000000001,416616.7500000001,0.0,0.0,197331750.00000006,173250000.00000003,145277550.00000003,25957800.0,18747753.750000004,23679810.000000007,24081750.00000003,-66077550.000000015,45061706.24999999,895096.6200000003,-36473.579999999725,342521.9325000001,-6929980.199999948,308389252.0500001,301459271.85000014,0.4169999999999999,0.84054,-4.656612873077393e-10
2025,value_1,Source-separation behaviour,"Generation remains fixed, but education, convenience and relative prices can shift waste between residual, recycling and organics.",Awareness affects sorting; convenience affects sorting; price wedges affect sorting.,5.0,3.0,0.29662583555981387,0.18303456307105231,0.5203396013691337,2475000.0,0.0,2474999.9999999995,734148.9430105393,453010.54360085446,1287840.5133886058,734148.9430105393,453010.54360085446,1287840.5133886058,387357.8827464219,675417.0275696962,271806.3261605127,1004515.6004431125,283324.9129454933,399230.5591504678,394663.5000000001,0.0,193678941.37321094,173249999.99999997,143222417.54193082,27016681.10278785,17965375.16177105,23241472.964785315,20428941.373210967,-64022417.54193084,45162296.22327606,868391.8141001355,-88620.40511882014,326567.0649049721,-16837876.97257583,295549838.3223596,278711961.3497838,0.4376268754789759,0.8434917645469002,4.656612873077393e-10
2026,value_1,Source-separation behaviour,"Generation remains fixed, but education, convenience and relative prices can shift waste between residual, recycling and organics.",Awareness affects sorting; convenience affects sorting; price wedges affect sorting.,10.0,6.0,0.3078211827906153,0.19368886534727275,0.4984899518621119,2475000.0,0.0,2475000.0,761857.4274067729,479379.9417345001,1233762.630858727,761857.4274067729,479379.9417345001,1233762.630858727,380314.3671549118,700908.8332142311,287627.9650407001,962334.8520698071,271427.77878891997,382466.4155662054,782021.382746422,0.0,190157183.57745588,173250000.0,141241209.85514605,28036353.32856924,17210988.700479243,22818862.029294707,16907183.57745588,-62041209.85514605,45258477.76752498,842643.9845401584,-138867.891230118,311183.39053060126,-26384899.33372242,283169798.5628303,256784899.22910792,0.4575154669799116,0.8463376294323589,0.0
2027,value_1,Source-separation behaviour,"Generation remains fixed, but education, convenience and relative prices can shift waste between residual, recycling and organics.",Awareness affects sorting; convenience affects sorting; price wedges affect sorting.,15.0,9.0,0.3182226853791666,0.20363994368138855,0.4781373709394449,2475000.0,0.0,2475000.0,787601.1463134373,504008.86061143666,1183389.9930751263,787601.1463134373,504008.86061143666,1183389.9930751263,373754.77624274645,724593.0546083623,302405.31636686204,923044.1945985985,260345.7984765278,366850.89785328915,1162335.7499013338,0.0,186877388.12137324,173250000.0,139396477.17588115,28983722.18433449,16508290.40339801,22425286.57456479,13627388.121373236,-60196477.17588115,45346578.22453484,818663.1242496476,-185610.65823423897,296854.4127166872,-35266025.064505406,271638004.1792674,236371979.114762,0.47604081986208296,0.8489879691948499,-4.656612873077393e-10
2028,value_1,Source-separation behaviour,"Generation remains fixed, but education, convenience and relative prices can shift waste between residual, recycling and organics.",Awareness affects sorting; convenience affects sorting; price wedges affect sorting.,20.0,12.0,0.32757939504394773,0.21266103971532258,0.4597595652407297,2475000.0,0.0,2475000.0,810759.0027337708,526336.0732954233,1137904.923970806,810759.0027337708,526336.0732954233,1137904.923970806,367833.4108218213,745898.2825150691,315801.64397725405,887565.8406972287,250339.0832735773,352750.52643094986,1536090.5261440803,0.0,183916705.41091064,173250000.0,137731703.6130235,29835931.300602764,15873773.689392744,22070004.649309278,10666705.410910636,-58531703.61302349,45424150.570225194,797012.8157364223,-227735.83439798467,283916.6216303788,-43269808.53561708,261225125.38304117,217955316.8474241,0.4927679791842222,0.8513804400719914,0.0
2029,value_1,Source-separation behaviour,"Generation remains fixed, but education, convenience and relative prices can shift waste between residual, recycling and organics.",Awareness affects sorting; convenience affects sorting; price wedges affect sorting.,25.0,15.0,0.33576590730073747,0.2206334078293647,0.4436006848698978,2475000.0,0.0,2475000.0,831020.6205693253,546067.6843776776,1097911.695052997,831020.6205693253,546067.6843776776,1097911.695052997,362628.9909949731,764538.9709237793,327640.6106266066,856371.1221413377,241540.57291165934,340352.62546642905,1903923.9369659016,0.0,181314495.49748656,173250000.0,136269035.7203803,30581558.836951174,15315868.145989306,21757739.459698386,8064495.497486562,-57069035.720380306,45490102.98957651,777980.7999199424,-264681.2404081079,272541.92345417105,-50289435.677540496,252069497.98989323,201780062.31235272,0.5074747017631067,0.853483235961627,0.0
2030,value_1,Source-separation behaviour,"Generation remains fixed, but education, convenience and relative prices can shift waste between residual, recycling and organics.",Awareness affects sorting; convenience affects sorting; price wedges affect sorting.,30.0,18.0,0.34276751121220117,0.22753441217696418,0.42969807661083465,2475000.0,0.0,2475000.0,848349.5902501979,563147.6701379863,1063502.739611816,848349.5902501979,563147.6701379863,1063502.739611816,358153.336948414,780481.6230301821,337888.60208279185,829532.1368972164,233970.6027145995,329685.84927966294,2266552.9279608745,0.0,179076668.47420695,173250000.0,135011739.43521413,31219264.921207283,14835863.217584832,21489200.216904838,5826668.474206954,-55811739.43521413,45544517.49184467,761610.6222530007,-296371.223208623,262756.50450406445,-56310532.409638375,244192282.01322973,187881749.60359135,0.5201270812744928,0.8552915810309438,0.0
2031,value_1,Source-separation behaviour,"Generation remains fixed, but education, convenience and relative prices can shift waste between residual, recycling and organics.",Awareness affects sorting; convenience affects sorting; price wedges affect sorting.,35.0,21.0,0.34864994792331516,0.2334124065028237,0.41793764557386115,2475000.0,0.0,2475000.0,862908.6211102051,577695.7060944886,1034395.6727953064,862908.6211102051,577695.7060944886,1034395.6727953064,354369.3083132327,793875.9314213888,346617.4236566932,806828.6247803391,227567.0480149674,320662.658566545,2624706.2649092884,0.0,177184654.15661633,173250000.0,133949271.02444226,31755037.25685555,14429819.635494525,21262158.49879396,3934654.15661633,-54749271.024442255,45588301.78473386,747767.0681831145,-323085.00453836983,254479.8556300176,-61386150.86229027,237528829.9511612,176142679.08887094,0.5308291179419913,0.856820481489603,-4.656612873077393e-10
2032,value_1,Source-separation behaviour,"Generation remains fixed, but education, convenience and relative prices can shift waste between residual, recycling and organics.",Awareness affects sorting; convenience affects sorting; price wedges affect sorting.,40.0,24.0,0.35352655550704126,0.23835910246569036,0.4081143420272684,2475000.0,0.0,2475000.0,874978.2248799271,589938.7786025837,1010082.9965174892,874978.2248799271,589938.7786025837,1010082.9965174892,351210.3950845002,804979.966889533,353963.2671615503,787864.7372836416,222218.25923384764,313125.7289204216,2979075.573222521,0.0,175605197.5422501,173250000.0,133062812.41836298,32199198.67558132,14090657.801418973,21072623.70507001,2355197.542250097,-53862812.418362975,45622819.275843896,736207.6368826382,-345313.2716963269,247567.40480067514,-65609521.622302115,231962959.00802517,166353437.38572305,0.5397676232855992,0.8580968100668687,0.0
2033,value_1,Source-separation behaviour,"Generation remains fixed, but education, convenience and relative prices can shift waste between residual, recycling and organics.",Awareness affects sorting; convenience affects sorting; price wedges affect sorting.,45.0,27.0,0.3575309050617235,0.24248627477905116,0.39998282015922537,2475000.0,0.0,2475000.0,884888.9900277657,600153.5300781516,989957.4798940828,884888.9900277657,600153.5300781516,989957.4798940828,348597.11778673466,814097.8708255445,360092.118046891,772166.8343173846,217790.6455766982,306886.81876716565,3330285.9683070215,0.0,174298558.89336735,173250000.0,132329902.98641115,32563914.83302178,13809906.844522454,20915827.06720408,1048558.8933673501,-53129902.986411154,45649587.70459204,726642.385686694,-363638.42333764955,241846.21888113182,-69091300.43415341,227355654.64449418,158264354.21034077,0.5471660799579317,0.8591526796821274,-4.656612873077393e-10
2034,value_1,Source-separation behaviour,"Generation remains fixed, but education, convenience and relative prices can shift waste between residual, recycling and organics.",Awareness affects sorting; convenience affects sorting; price wedges affect sorting.,50.0,30.0,0.3607978313246627,0.24590932749020433,0.39329284118513297,2475000.0,0.0,2475000.0,892974.6325285402,608625.5855382557,973399.781933204,892974.6325285402,608625.5855382557,973399.781933204,346448.4811814137,821536.6619262571,365175.35132295353,759251.8299078991,214147.9520253049,301753.93239929323,3678883.0860937564,0.0,173224240.59070686,173250000.0,131727672.28211537,32861466.477050282,13578926.957968196,20786908.87088482,-25759.40929314494,-52527672.28211537,45670077.10574089,718775.7364912378,-378651.2348519531,237139.95021010464,-71943734.62187108,223565130.15963578,151621395.5377647,0.5532523995598737,0.8600208156842772,-4.656612873077393e-10
2035,value_1,Source-separation behaviour,"Generation remains fixed, but education, convenience and relative prices can shift waste between residual, recycling and organics.",Awareness affects sorting; convenience affects sorting; price wedges affect sorting.,55.0,33.0,0.36345232701377944,0.24873737404139745,0.38781029894482305,2475000.0,0.0,2475000.0,899544.5093591041,615625.0007524587,959830.489888437,899544.5093591041,615625.0007524587,959830.489888437,344688.76859943033,827580.9486103758,369375.00045147527,748667.7821129808,211162.70777545613,297547.45186541544,4025331.5672751702,0.0,172344384.29971516,173250000.0,131234755.58359139,33103237.94441503,13389635.333943695,20681326.11596582,-905615.7002848387,-52034755.58359139,45685598.73699208,712331.2874084797,-390901.736899395,233283.6482321742,-74271330.01088504,220458739.87588596,146187409.8650009,0.5582397774899348,0.8607318106668969,0.0
2036,value_1,Source-separation behaviour,"Generation remains fixed, but education, convenience and relative prices can shift waste between residual, recycling and organics.",Awareness affects sorting; convenience affects sorting; price wedges affect sorting.,60.0,36.0,0.3656043336832811,0.25106826452565345,0.3833274017910655,2475000.0,0.0,2475000.0000000005,904870.7258661208,621393.9547009923,948735.3194328872,904870.7258661208,621393.9547009923,948735.3194328872,343250.8238146241,832481.0677968311,372836.37282059545,740013.5491576521,208721.7702752352,294107.949024195,4370020.3358746,0.0,171625411.90731204,173250000.00000003,130832216.91789219,33299242.711873244,13234857.706088776,20595049.428877447,-1624588.0926879942,-51632216.91789217,45697260.696458355,707063.8103735805,-400875.8183767309,230130.92806347404,-76166405.49157888,217918748.209003,141752342.71742412,0.5623174250617067,0.8613127984587378,0.0
2037,value_1,Source-separation behaviour,"Generation remains fixed, but education, convenience and relative prices can shift waste between residual, recycling and organics.",Awareness affects sorting; convenience affects sorting; price wedges affect sorting.,65.0,39.0,0.36734732842215256,0.25298685624024814,0.3796658153375993,2475000.0,0.0,2475000.0,909184.6378448276,626142.4691946141,939672.8929605583,909184.6378448276,626142.4691946141,939672.8929605583,342077.05439837044,836449.8668172414,375685.4815167685,732944.8565092355,206728.0364513228,291298.59681777307,4713271.159689224,0.0,171038527.19918522,173250000.0,130503828.6654842,33457994.672689658,13108436.856799789,20524623.263902225,-2211472.8008147776,-51303828.665484205,45705965.05787406,702762.933916657,-408988.4546127715,227556.1783785162,-77707806.37642659,215844110.32100222,138136303.9445756,0.5656477127646037,0.8617870487279311,-4.656612873077393e-10
2038,value_1,Source-separation behaviour,"Generation remains fixed, but education, convenience and relative prices can shift waste between residual, recycling and organics.",Awareness affects sorting; convenience affects sorting; price wedges affect sorting.,70.0,42.0,0.3687590394868455,0.2545651612173905,0.376675799295764,2475000.0,0.0,2475000.0,912678.6227299427,630048.7740130414,932272.6032570159,912678.6227299427,630048.7740130414,932272.6032570159,341119.13993624307,839664.3329115473,378029.2644078249,727172.6305404725,205099.9727165435,289004.5070096749,5055348.214087594,0.0,170559569.96812153,173250000.0,130235985.85093813,33586573.31646189,13005202.81543537,20467148.396174584,-2690430.0318784714,-51035985.85093813,45712426.89317961,699252.0973162384,-415586.32457189856,225453.94698498384,-78961401.66866073,214149983.00601774,135188581.337357,0.5683669614235494,0.8621740848742452,0.0
2039,value_1,Source-separation behaviour,"Generation remains fixed, but education, convenience and relative prices can shift waste between residual, recycling and organics.",Awareness affects sorting; convenience affects sorting; price wedges affect sorting.,75.0,45.0,0.369903165520909,0.255863437252381,0.37423339722670995,2475000.0,0.0,2475000.0,915510.3346642498,633262.007199643,926227.6581361071,915510.3346642498,633262.007199643,926227.6581361071,340337.11228304787,842269.5078911098,379957.2043197858,722457.5733461636,203770.08478994356,287130.5740221932,5396467.3540238375,0.0,170168556.14152393,173250000.0,130017443.72091258,33690780.31564439,12920875.830998695,20420226.73698287,-3081443.8584760725,-50817443.720912576,45717202.19677265,696385.2096672829,-420954.9194857725,223736.95537005228,-79981434.70229678,212766132.35463455,132784697.65233777,0.5705880058063793,0.862490055643213,4.656612873077393e-10
2040,value_1,Source-separation behaviour,"Generation remains fixed, but education, convenience and relative prices can shift waste between residual, recycling and organics.",Awareness affects sorting; convenience affects sorting; price wedges affect sorting.,80.0,48.0,0.37083142327773694,0.2569316519728389,0.3722369247494241,2475000.0,0.0,2475000.0,917807.772612399,635905.8386327763,921286.3887548246,917807.772612399,635905.8386327763,921286.3887548246,339698.211198331,844383.1508034071,381543.50317966583,718603.3832287632,202683.00552606143,285598.7805139956,5736804.466306886,0.0,169849105.5991655,173250000.0,129838992.55266318,33775326.032136284,12851945.123129804,20381892.67189986,-3400894.400834501,-50638992.55266318,45720717.174138546,694042.4854914265,-425327.19323385286,222333.62006923524,-80812166.71443205,211634943.92743194,130822777.2129999,0.5724033961910729,0.8627481974956238,0.0
2041,value_1,Source-separation behaviour,"Generation remains fixed, but education, convenience and relative prices can shift waste between residual, recycling and organics.",Awareness affects sorting; convenience affects sorting; price wedges affect sorting.,85.0,51.0,0.3715855616380227,0.25781100360685866,0.37060343475511864,2475000.0,0.0,2475000.0,919674.2650541061,638082.2339269752,917243.5010189186,919674.2650541061,638082.2339269752,917243.5010189186,339175.73482118815,846100.3238497777,382849.34035618516,715449.9307947565,201793.5702241621,284345.48531586473,6076502.677505217,0.0,169587867.41059405,173250000.0,129693131.61599131,33844012.95399111,12795546.839213913,20350544.08927129,-3662132.589405954,-50493131.61599131,45723295.09865181,692126.2580247025,-428892.16040763585,221185.55896065015,-81489510.47745082,210709419.9077328,129219909.430282,0.5738886199531537,0.8629592990621462,0.0
2042,value_1,Source-separation behaviour,"Generation remains fixed, but education, convenience and relative prices can shift waste between residual, recycling and organics.",Awareness affects sorting; convenience affects sorting; price wedges affect sorting.,90.0,54.0,0.37219917379017065,0.25853534144321744,0.3692654847666119,2475000.0,0.0,2475000.0,921192.9551306723,639874.9700719632,913932.0747973644,921192.9551306723,639874.9700719632,913932.0747973644,338747.98987307027,847497.5187202186,383924.98204317794,712867.0183419443,201065.05645542018,283318.94318718294,6415678.412326405,0.0,169373994.93653512,173250000.0,129573771.8122809,33899900.74880874,12749352.443423232,20324879.392384216,-3876005.06346488,-50373771.81228089,45725179.21971443,690557.1534903819,-431802.6907853674,220245.3114425899,-82042511.2492198,209951347.4577789,127908836.2085591,0.5751050471858526,0.86313212530381,0.0
2043,value_1,Source-separation behaviour,"Generation remains fixed, but education, convenience and relative prices can shift waste between residual, recycling and organics.",Awareness affects sorting; convenience affects sorting; price wedges affect sorting.,95.0,57.0,0.372699249420367,0.25913242099893413,0.36816832958069895,2475000.0,0.0,2475000.0,922430.6423154082,641352.7419723619,911216.6157122299,922430.6423154082,641352.7419723619,911216.6157122299,338397.38103915943,848636.1909301756,384811.6451834172,710748.9602555393,200467.65545669058,282477.1508707912,6754426.402199475,0.0,169198690.5195797,173250000.0,129475978.02160963,33945447.637207024,12711471.789185606,20303842.862349566,-4051309.4804202914,-50275978.021609634,45726551.45529094,689270.7709454639,-434182.22846272925,219474.35907107443,-82494623.40791856,209329708.04767376,126835084.6397552,0.5761024883657784,0.8632737854387235,0.0
2044,value_1,Source-separation behaviour,"Generation remains fixed, but education, convenience and relative prices can shift waste between residual, recycling and organics.",Awareness affects sorting; convenience affects sorting; price wedges affect sorting.,100.0,60.0,0.37310746560659186,0.25962497819818725,0.36726755619522095,2475000.0,0.0,2475000.0,923440.9773763148,642571.8210405135,908987.2015831717,923440.9773763148,642571.8210405135,908987.2015831717,338109.64464245434,849565.6991862097,385543.09262430813,709010.017234874,199977.18434829777,281786.03249078325,7092823.7832386345,0.0,169054822.32122716,173250000.0,129395752.49793887,33982627.96744839,12680371.462085247,20286578.67854726,-4195177.678772837,-50195752.49793887,45727547.20640302,688214.8869586375,-436130.41366736824,218841.45844631267,-82864778.59679997,208819337.38907486,125954558.79227489,0.5769213487364331,0.8633900425687053,0.0
